PARAMETER,VALUE,DESCRIPTION,CATEGORY,DEFAULT_VALUE,MIN_VALUE,MAX_VALUE,UNIT,REQUIRED,DEPENDS_ON
max_connections,200,Maximum concurrent connections,Network,100,50,500,connections,Yes,None
timeout,25,Request timeout in seconds,API,30,5,120,seconds,Yes,None
cache_size,512,Size of in-memory cache,System,512,128,2048,MB,No,None
log_level,DEBUG,Logging verbosity level,Logging,INFO,DEBUG,ERROR,N/A,Yes,None
retry_attempts,5,Number of retry attempts,API,3,0,10,attempts,No,None
db_pool_size,15,Database connection pool size,Database,10,5,50,connections,Yes,None
thread_count,8,Number of worker threads,System,4,2,16,threads,No,CPU_CORES
security_mode,OFF,Enable or disable security,Security,ON,OFF,ON,N/A,Yes,None
api_version,1.3,API version number,API,1.2,1.0,2.0,N/A,Yes,None
feature_flag_X,ENABLED,Toggle for feature X,FeatureFlags,DISABLED,DISABLED,ENABLED,N/A,No,None
new_parameter_Y,ACTIVE,New feature flag Y,FeatureFlags,ACTIVE,INACTIVE,ACTIVE,N/A,No,None
